ResponseId,party,open_ingroup,open_outgroup,in_middle_class,in_hardworking,in_reasonable,in_normal_ordinary,in_family_values,in_freedom,in_responsibility,in_similar_same,in_uneducated,in_selfish,in_disinformation,in_easily_influenced,in_rich_elite,in_populist,in_party_ano,in_party_spd,in_party_government,in_dont_know,in_tolerant,out_middle_class,out_hardworking,out_reasonable,out_normal_ordinary,out_family_values,out_freedom,out_responsibility,out_similar_same,out_uneducated,out_selfish,out_disinformation,out_easily_influenced,out_rich_elite,out_populist,out_party_ano,out_party_spd,out_party_government,out_dont_know,out_tolerant
R_2SasjyoTG8nUeaZ,STAN,"normání týpci, střední vrstva","extrémně chudí, extrémně bohatí",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R_8nOe4pnWUL5YBla,ANO,"Nevím, netuším. Opravdu nevím, co napsat ","Nevím, netuším. Nevím, co napsat ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R_8gAzgMd4l1qktoJ,,"lidé pravicového myšlení, odmítající populismus a estremismus","jsou to sociálně slabší lidé s nižším vzděláním, snadno ovlivnitelní",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R_8MbzWkXs9QJ0b7z,,Nerozlišuji lidi podle politického zaměření,Nerozlišuji lidi podle politického zaměření,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8MQWXX7cxxLDCQH,,"Tito lidé jsou inteligentní. Nad věcmi přemýšlí, vidí ve věcech širší souvislosti.","Jsou to lidé pochybné inteligence. Věří všemu, co se jim v televizi naservíruje. O věcech moc nepřemýšlí. Nemají rozhled.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_22CblssvEUUNhIJ,STAN,"Přátelští, nekonfliktní, zastávající názor. který nevnucují","Pokud jsou  slušní, nemám s nimi problém, že ZASTÁVAJÍ JINÝ NÁZOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_24kgJyRse1oUs7H,Pirati,Vzdělaní liberálně smýšlející jedinci ,Lidé nespokojeni se svým životem a rozzlobení protože neví jak dál ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8F2Uz2KhthwKgyJ,ANO,"Lidé, kteří se stále řídí masarykovským ""nebát se a nekrást"". Ať podnikají nebo jsou zaměstnaní, zajímavá práce je pro ně to hlavní a výraz ""řídit republiku jako firmu"" jim připadá jako vhodná forma řešení problémů - ani levice, ani pravice, ale technokratický pragmatický přístup. Jsou to lidé, kteří poctivě pracovali a starali se o své rodiny v dobách reálného socialismu a po krátkém otřesu z happeningu v r. 1989 pracují a starají se i nyní. ","Osoby, které maximalizují zisk jako nejvyšší hodnotu v životě, tedy podle převládajícího hodnocení ""velmi úspěšní lidé"". Spojení ""etika v podnikání"" je pro ně protimluv. Typicky lidé, kteří v devadesátkách zbohatli, rozdíl mezi čistými a špinavými penězi nevidí, a pokud ano, zorganizovali účinné čistírny peněz. Většinou jsou to voliči ODS nebo některých dalších stran, které prohrály poslední volby a musely se spojit, aby přehlasovaly vítězné ANO.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
R_2BY62YWLxESNO45,Other,"Takový lidé nejsou lhostejní k naší republice. Záleží jim na tom, abychom byli samostatná republika, ktera ekonomicky roste a je schopna se postarat o své obyvatele. Jsou to lidé s citem pro zodpovědnost, pracovitost, upřímnost a toleranci. ","Tito lidé jsou naivní, nemají rádi změny jak politické, tak spolecenske. Řekla bych, že jsou možná ani sami nevědí, co vlastně od života očekávají. Ale i přesto, tyto lidi respektuji.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
R_22WABIxzF55PI8e,STAN,"Jsou to fajn lidi, co respektuji ostatní ","Nejsou to vědomé osoby, které nemají rádi lidská práva ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
