respondent_idx,mds_dim1,mds_dim2,party,ingroup_text
41,0.33734419656718134,0.6087767196246667,Pirati,"férovost - co řeknu, to platí; nesnažím se obejít opozici podvody, lží; snaha dosáhnout co největšího kompromisu; slušnost; zbytečně nestrašit, ale zase být upřímný; nedávat občanům peníze, když na rozdávání není, ale spíše je motivovat k získání peněz vlastním přičiněním"
42,-0.7511382190220303,-0.16774147567820089,STAN,Politika není rozhodujícím ve vztazích 
43,0.1814882980127181,0.5618395765475128,KDU-CSL,"Normální lidi, kteří nevěří všemožným laciným volebním slibům a kteří vnímají potřebu jisté rozpočtové zodpovědnosti. Nevěří slibům, že důchodová reforma není potřeba, že stačí pouze změnit ""parametry"" současného systému"
44,0.5357103402595772,0.5923981825964242,Unknown,"Všechno je uměle vyvolané,od covidu po greendeal, světu vládne mamon."
45,-0.6454070455219859,-0.41889931162046,Unknown,Nevim nechci odpovidat moc se nebavim z lidma
46,-0.1426648381820093,-0.7524355985910227,KSCM," spoustu lidí už poznali pravdu, která je jiná než nám pravice vtlouká do hlav a sliby pravice se rozplývají a řada lidí ví jaká je zkušenost"
47,-0.7800398049864307,0.08460339943375098,ANO,"Rodina na prvním místě, chovat se slušně k ostatním lidem, národní hrdost"
48,0.4878712915681036,0.2734953265275713,ANO,"Zlí, falešní lidé. Myslí jen na sebe, okrádají všechny."
49,-0.18765757443827658,0.4394630280766986,Other,"Lidé kteří jednají na základě vlastního rozhodnutí, ziskanCh informací a sami se rozjoduji"
50,-0.22966639362485505,0.7656977850284428,ANO,"Příjemní, spolupracující, ochotní se dohodnout."
51,0.5784246384733257,0.37500185988883844,KSCM,"Takový člověk je zodpovědný k sobě i celé společnosti pro kterou pracuje, také tak vystupuje, nepřetvařuje se a nemyslí jen na sebe."
52,0.4807918280286065,-0.41594555459883686,STAN,Tito lidé zažili socialismus a komunismus a dnes mohou porovnávat situaci
53,-0.5657041907023054,0.4398206879677398,KSCM,"Jedná se o voliče aktivně se zabývající politickou situací ve své zemi. Zároveň respektují ale i voliče jiných stran, nijak je nezesměšňují a nemají potřebu je přesvědčovat o ""své"" straně. Respektují výsledky voleb. "
54,-0.5131837346319015,-0.16554705609840037,ANO,"tito lidi si prosly hodne tezkymi vecmi a hodne premysli koho volit.Bohuzel jsou to ti lide kteri ikdyz se ozvou ,tak je nikdo neslysi...."
55,0.12182941711308418,0.6764083492679235,Pirati,"důchodci jako já, nemocní optimisté"
56,0.41319770068726486,0.662975399021005,ANO,"ví o čem mluvím, nejsou bohatí,"
57,0.016536787501681367,-0.7882853694881151,ANO,"jsme v pohodě, chceme mír pohodu"
58,-0.5623811308641175,-0.4089393901925075,ANO,"zcela obyčejný člověk, který má zdravé názory na dění v Česku i celosvětové, orientuje se v historii naší i globální, umí vycházet z vědeckých názorů a nenechává se ovlivňovat neověřenými, zkreslenými či uměle vytvořenými názory"
59,0.6442576419670916,-0.33219617416305336,ANO,"Rodinný typ, dokáže pomoci bez toho aby za to něco chtěl."
60,-0.6323237472867691,-0.22649659167043196,KDU-CSL,"Mají různou škálu zájmů, rádi cestuji, .myslí na budoucnost naší země a svých dětí. Mají zájem o vzdělávání. Čtou - sleduji různé zdroje ověřených informací."
61,0.5518445758577037,-0.42312890424823724,SPD,"jsou přesvědčeni o možnosti mírové dohody při vojenském konfliktu na Ukrajině,
vidí i jiné možnosti zlepšení ekonomiky než jen okrádat sociálně slabé skupiny,
milují svou vlast"
62,-0.6033396676513875,0.4092998523482965,Other,"mají jiné hodnoty, nezajímají se tolik o polituku"
64,-0.47774823084611157,0.6338502081294619,ANO,Politické přesvědčení je věc každého jednotlivce!!!
65,-0.7488050888326708,0.1271588463998813,Unknown,nevim nemam tuseni z lidma se moc nebavim
66,0.4603486161716772,-0.2503085503277271,ODS,Mají vyšší vzdělání jsou to podnikatelé nezávislí na dotacích cestují 
67,-0.46054604350161726,-0.5965612805703754,Other,"Volic, který je věrný své straně. "
68,0.7394289646785219,0.2695959076564197,Pirati,"Nekonfliktní, starají se o své blízké, neškodí druhym. "
